index,Ultrasonic Sensor Data Capture Start,index,Ultrasonic Sensor Data Capture Start
3,565,100002.0,560.0
4,564,100003.0,560.0
5,565,100004.0,552.0
6,565,100005.0,552.0
7,565,100006.0,552.0
8,566,100007.0,558.0
9,572,100008.0,558.0
10,572,100009.0,566.0
11,572,100010.0,565.0
12,578,100011.0,566.0
13,570,100012.0,566.0
14,571,100013.0,558.0
15,571,100014.0,552.0
16,571,100015.0,552.0
17,571,100016.0,552.0
18,579,100017.0,552.0
19,579,100018.0,560.0
20,548,100019.0,560.0
21,554,100020.0,560.0
22,554,100021.0,560.0
23,554,100022.0,559.0
24,554,100023.0,559.0
25,554,100024.0,559.0
26,548,100025.0,566.0
27,548,100026.0,566.0
28,548,100027.0,566.0
29,548,100028.0,565.0
30,548,100029.0,565.0
31,548,100030.0,560.0
32,554,100031.0,559.0
33,554,100032.0,560.0
34,554,100033.0,560.0
35,554,100034.0,559.0
36,548,100035.0,560.0
37,548,100036.0,566.0
38,548,100037.0,566.0
39,548,100038.0,566.0
40,549,100039.0,566.0
41,548,100040.0,566.0
42,555,100041.0,560.0
43,554,100042.0,559.0
44,554,100043.0,559.0
45,554,100044.0,560.0
46,554,100045.0,559.0
47,548,100046.0,560.0
48,548,100047.0,566.0
49,548,100048.0,566.0
50,548,100049.0,565.0
51,548,100050.0,565.0
52,548,100051.0,559.0
53,554,100052.0,560.0
54,554,100053.0,559.0
55,554,100054.0,559.0
56,554,100055.0,559.0
57,554,100056.0,560.0
58,548,100057.0,565.0
59,548,100058.0,565.0
60,548,100059.0,566.0
61,548,100060.0,566.0
62,548,100061.0,565.0
63,548,100062.0,559.0
64,554,100063.0,559.0
65,554,100064.0,560.0
66,554,100065.0,560.0
67,554,100066.0,560.0
68,548,100067.0,560.0
69,548,100068.0,565.0
70,548,100069.0,566.0
71,548,100070.0,565.0
72,548,100071.0,566.0
73,548,100072.0,566.0
74,554,100073.0,560.0
75,554,100074.0,559.0
76,554,100075.0,560.0
77,554,100076.0,560.0
78,554,100077.0,560.0
79,548,100078.0,560.0
80,548,100079.0,565.0
81,548,100080.0,566.0
82,548,100081.0,565.0
83,548,100082.0,566.0
84,548,100083.0,560.0
85,554,100084.0,560.0
86,555,100085.0,559.0
87,554,100086.0,559.0
88,554,100087.0,559.0
89,555,100088.0,559.0
90,548,100089.0,566.0
91,548,100090.0,566.0
92,548,100091.0,566.0
93,548,100092.0,565.0
94,548,100093.0,566.0
95,548,100094.0,560.0
96,554,100095.0,560.0
97,578,100096.0,560.0
98,554,100097.0,560.0
99,554,100098.0,559.0
100,549,100099.0,560.0
101,548,100100.0,566.0
102,548,100101.0,565.0
103,548,100102.0,566.0
104,548,100103.0,565.0
105,548,100104.0,566.0
106,555,100105.0,559.0
107,554,100106.0,559.0
108,554,100107.0,559.0
109,554,100108.0,560.0
110,554,100109.0,560.0
111,548,100110.0,559.0
112,548,100111.0,566.0
113,548,100112.0,565.0
114,548,100113.0,566.0
115,548,100114.0,566.0
116,548,100115.0,560.0
117,554,100116.0,560.0
118,554,100117.0,559.0
119,554,100118.0,560.0
120,554,100119.0,559.0
121,554,100120.0,560.0
122,548,100121.0,565.0
123,548,100122.0,566.0
124,548,100123.0,566.0
125,548,100124.0,565.0
126,548,100125.0,566.0
127,548,100126.0,560.0
128,554,100127.0,560.0
129,554,100128.0,560.0
130,554,100129.0,560.0
131,554,100130.0,560.0
132,548,100131.0,560.0
133,548,100132.0,566.0
134,548,100133.0,566.0
135,548,100134.0,566.0
136,548,100135.0,566.0
137,548,100136.0,566.0
138,554,100137.0,560.0
139,554,100138.0,559.0
140,554,100139.0,560.0
141,554,100140.0,559.0
142,554,100141.0,560.0
143,548,100142.0,559.0
144,548,100143.0,565.0
145,548,100144.0,566.0
146,548,100145.0,566.0
147,548,100146.0,566.0
148,548,100147.0,560.0
149,554,100148.0,560.0
150,555,100149.0,560.0
151,554,100150.0,560.0
152,554,100151.0,559.0
153,554,100152.0,559.0
154,548,100153.0,566.0
155,548,100154.0,566.0
156,548,100155.0,566.0
157,548,100156.0,566.0
158,548,100157.0,566.0
159,548,100158.0,560.0
160,554,100159.0,559.0
161,554,100160.0,559.0
162,554,100161.0,559.0
163,554,100162.0,559.0
164,548,100163.0,560.0
165,548,100164.0,566.0
166,548,100165.0,566.0
167,548,100166.0,565.0
168,548,100167.0,566.0
169,548,100168.0,565.0
170,554,100169.0,560.0
171,554,100170.0,560.0
172,554,100171.0,560.0
173,554,100172.0,559.0
174,554,100173.0,560.0
175,548,100174.0,560.0
176,548,100175.0,566.0
177,548,100176.0,565.0
178,548,100177.0,566.0
179,548,100178.0,565.0
180,548,100179.0,560.0
181,554,100180.0,559.0
182,554,100181.0,560.0
183,554,100182.0,559.0
184,554,100183.0,560.0
185,554,100184.0,560.0
186,548,100185.0,565.0
187,548,100186.0,566.0
188,548,100187.0,566.0
189,548,100188.0,566.0
190,548,100189.0,566.0
191,548,100190.0,559.0
192,554,100191.0,560.0
193,555,100192.0,559.0
194,554,100193.0,559.0
195,554,100194.0,560.0
196,548,100195.0,560.0
197,548,100196.0,566.0
198,548,100197.0,566.0
199,548,100198.0,566.0
200,548,100199.0,566.0
201,548,100200.0,566.0
202,554,100201.0,560.0
203,554,100202.0,560.0
204,554,100203.0,559.0
205,554,100204.0,559.0
206,554,100205.0,560.0
207,548,100206.0,559.0
208,548,100207.0,566.0
209,548,100208.0,566.0
210,548,100209.0,566.0
211,548,100210.0,565.0
212,548,100211.0,560.0
213,554,100212.0,560.0
214,554,100213.0,560.0
215,554,100214.0,560.0
216,554,100215.0,560.0
217,554,100216.0,560.0
218,548,100217.0,565.0
219,548,100218.0,565.0
220,548,100219.0,565.0
221,548,100220.0,566.0
222,548,100221.0,565.0
223,548,100222.0,559.0
224,554,100223.0,560.0
225,579,100224.0,560.0
226,554,100225.0,560.0
227,555,100226.0,560.0
228,548,100227.0,560.0
229,548,100228.0,566.0
230,548,100229.0,566.0
231,548,100230.0,565.0
232,548,100231.0,566.0
233,548,100232.0,565.0
234,554,100233.0,560.0
235,554,100234.0,559.0
236,554,100235.0,560.0
237,554,100236.0,559.0
238,554,100237.0,560.0
239,548,100238.0,559.0
240,548,100239.0,566.0
241,548,100240.0,565.0
242,548,100241.0,565.0
243,548,100242.0,566.0
244,548,100243.0,559.0
245,554,100244.0,560.0
246,554,100245.0,559.0
247,554,100246.0,560.0
248,554,100247.0,559.0
249,554,100248.0,559.0
250,548,100249.0,566.0
251,548,100250.0,565.0
252,548,100251.0,565.0
253,548,100252.0,566.0
254,548,100253.0,565.0
255,548,100254.0,559.0
256,554,100255.0,560.0
257,554,100256.0,559.0
258,554,100257.0,560.0
259,554,100258.0,560.0
260,549,100259.0,559.0
261,548,100260.0,565.0
262,548,100261.0,565.0
263,548,100262.0,566.0
264,548,100263.0,566.0
265,548,100264.0,566.0
266,554,100265.0,560.0
267,554,100266.0,560.0
268,554,100267.0,560.0
269,554,100268.0,560.0
270,554,100269.0,560.0
271,548,100270.0,559.0
272,548,100271.0,566.0
273,548,100272.0,566.0
274,548,100273.0,566.0
275,548,100274.0,565.0
276,548,100275.0,560.0
277,554,100276.0,559.0
278,554,100277.0,559.0
279,554,100278.0,559.0
280,554,100279.0,560.0
281,554,100280.0,560.0
282,548,100281.0,566.0
283,548,100282.0,566.0
284,548,100283.0,566.0
285,548,100284.0,566.0
286,548,100285.0,565.0
287,548,100286.0,560.0
288,554,100287.0,559.0
