index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,,,,,,,,,,,,
138,9096,100143,9153,,,,,,,,,,,,
139,9096,100144,9128,,,,,,,,,,,,
140,9120,100145,9153,,,,,,,,,,,,
141,9071,100146,9101,,,,,,,,,,,,
142,9165,100147,9128,,,,,,,,,,,,
143,9145,100148,9128,,,,,,,,,,,,
144,9095,100149,9127,,,,,,,,,,,,
145,9145,100150,9178,,,,,,,,,,,,
146,9096,100151,9178,,,,,,,,,,,,
147,9121,100152,9153,,,,,,,,,,,,
148,9096,100153,9177,,,,,,,,,,,,
149,9095,100154,9154,,,,,,,,,,,,
150,9170,100155,9178,,,,,,,,,,,,
151,9171,100156,9179,,,,,,,,,,,,
152,9170,100157,9178,,,,,,,,,,,,
153,9120,100158,9129,,,,,,,,,,,,
154,9096,100159,9153,,,,,,,,,,,,
155,9145,100160,9153,,,,,,,,,,,,
156,9095,100161,9154,,,,,,,,,,,,
157,9095,100162,9179,,,,,,,,,,,,
158,9170,100163,9154,,,,,,,,,,,,
159,9120,100164,9153,,,,,,,,,,,,
160,9120,100165,9132,,,,,,,,,,,,
161,9096,100166,9153,,,,,,,,,,,,
162,9095,100167,9128,,,,,,,,,,,,
163,9171,100168,9179,,,,,,,,,,,,
164,9170,100169,9153,,,,,,,,,,,,
165,9145,100170,9129,,,,,,,,,,,,
166,9096,100171,9153,,,,,,,,,,,,
167,7673,100172,9153,,,,,,,,,,,,
168,8190,100173,9178,,,,,,,,,,,,
169,7569,100174,9154,,,,,,,,,,,,
170,9097,100175,9127,,,,,,,,,,,,
171,9145,100176,9179,,,,,,,,,,,,
172,7649,100177,9179,,,,,,,,,,,,
173,9170,100178,9204,,,,,,,,,,,,
174,9170,100179,9153,,,,,,,,,,,,
175,7650,100180,9128,,,,,,,,,,,,
176,9170,100181,9128,,,,,,,,,,,,
177,9170,100182,9128,,,,,,,,,,,,
178,9195,100183,9128,,,,,,,,,,,,
179,9095,100184,9128,,,,,,,,,,,,
180,9169,100185,9129,,,,,,,,,,,,
181,9195,100186,9153,,,,,,,,,,,,
182,9145,100187,9154,,,,,,,,,,,,
183,9195,100188,9129,,,,,,,,,,,,
184,9195,100189,9178,,,,,,,,,,,,
185,9095,100190,9127,,,,,,,,,,,,
186,9146,100191,9128,,,,,,,,,,,,
187,9170,100192,9129,,,,,,,,,,,,
188,9195,100193,9128,,,,,,,,,,,,
189,9170,100194,9154,,,,,,,,,,,,
190,9118,100195,9154,,,,,,,,,,,,
191,9121,100196,9126,,,,,,,,,,,,
192,9095,100197,9153,,,,,,,,,,,,
193,9097,100198,9153,,,,,,,,,,,,
194,7619,100199,9100,,,,,,,,,,,,
195,9145,100200,9152,,,,,,,,,,,,
196,9169,100201,9153,,,,,,,,,,,,
197,9170,100202,9128,,,,,,,,,,,,
198,9119,100203,9153,,,,,,,,,,,,
199,9170,100204,9203,,,,,,,,,,,,
200,9145,100205,9153,,,,,,,,,,,,
201,7548,100206,9153,,,,,,,,,,,,
202,9195,100207,9128,,,,,,,,,,,,
203,9094,100208,9128,,,,,,,,,,,,
204,9119,100209,9179,,,,,,,,,,,,
205,9094,100210,9128,,,,,,,,,,,,
206,9145,100211,9127,,,,,,,,,,,,
207,7523,100212,9153,,,,,,,,,,,,
208,9195,100213,9153,,,,,,,,,,,,
209,9145,100214,9229,,,,,,,,,,,,
210,9169,100215,9204,,,,,,,,,,,,
211,9195,100216,9128,,,,,,,,,,,,
212,9169,100217,9204,,,,,,,,,,,,
213,9169,100218,9128,,,,,,,,,,,,
214,9169,100219,9153,,,,,,,,,,,,
215,9144,100220,9153,,,,,,,,,,,,
216,9194,100221,9128,,,,,,,,,,,,
217,9119,100222,9128,,,,,,,,,,,,
218,9169,100223,9179,,,,,,,,,,,,
219,9170,100224,9203,,,,,,,,,,,,
220,9169,100225,9179,,,,,,,,,,,,
221,9195,100226,9179,,,,,,,,,,,,
222,9169,100227,9198,,,,,,,,,,,,
223,9170,100228,9204,,,,,,,,,,,,
224,9169,100229,9128,,,,,,,,,,,,
225,9194,100230,9127,,,,,,,,,,,,
226,7598,100231,9204,,,,,,,,,,,,
227,9195,100232,9128,,,,,,,,,,,,
228,9094,100233,9127,,,,,,,,,,,,
229,9118,100234,9128,,,,,,,,,,,,
230,9195,100235,9128,,,,,,,,,,,,
231,9195,100236,9128,,,,,,,,,,,,
232,9094,100237,9127,,,,,,,,,,,,
233,9194,100238,9128,,,,,,,,,,,,
234,9195,100239,9229,,,,,,,,,,,,
235,9094,100240,9127,,,,,,,,,,,,
236,9124,100241,9229,,,,,,,,,,,,
237,9092,100242,9204,,,,,,,,,,,,
238,9119,100243,9127,,,,,,,,,,,,
239,7647,100244,9128,,,,,,,,,,,,
240,9169,100245,9153,,,,,,,,,,,,
241,9094,100246,9127,,,,,,,,,,,,
242,9094,100247,9204,,,,,,,,,,,,
243,7622,100248,9153,,,,,,,,,,,,
244,8162,100249,9153,,,,,,,,,,,,
245,9145,100250,9127,,,,,,,,,,,,
246,9194,100251,9128,,,,,,,,,,,,
247,9194,100252,9128,,,,,,,,,,,,
248,9119,100253,9126,,,,,,,,,,,,
249,9120,100254,9128,,,,,,,,,,,,
250,9170,100255,9178,,,,,,,,,,,,
251,9169,100256,9178,,,,,,,,,,,,
252,9120,100257,9128,,,,,,,,,,,,
253,9194,100258,9128,,,,,,,,,,,,
254,9118,100259,9128,,,,,,,,,,,,
255,9194,100260,9204,,,,,,,,,,,,
256,9118,100261,9204,,,,,,,,,,,,
257,9170,100262,9127,,,,,,,,,,,,
258,9117,100263,9204,,,,,,,,,,,,
259,9194,100264,9152,,,,,,,,,,,,
260,9168,100265,9129,,,,,,,,,,,,
261,9169,100266,9127,,,,,,,,,,,,
262,9093,100267,9128,,,,,,,,,,,,
263,9093,100268,9128,,,,,,,,,,,,
264,9093,100269,9152,,,,,,,,,,,,
265,9118,100270,9152,,,,,,,,,,,,
266,9194,100271,9179,,,,,,,,,,,,
267,9194,100272,9153,,,,,,,,,,,,
268,9093,100273,9171,,,,,,,,,,,,
269,9093,100274,9153,,,,,,,,,,,,
270,9118,100275,9152,,,,,,,,,,,,
271,9118,100276,9153,,,,,,,,,,,,
272,9093,100277,9177,,,,,,,,,,,,
273,9117,100278,9153,,,,,,,,,,,,
274,9118,100279,9153,,,,,,,,,,,,
275,9118,100280,9204,,,,,,,,,,,,
276,9093,100281,9128,,,,,,,,,,,,
277,9093,100282,9198,,,,,,,,,,,,
278,9117,100283,9127,,,,,,,,,,,,
279,9118,100284,9203,,,,,,,,,,,,
280,9168,100285,9204,,,,,,,,,,,,
281,9118,100286,9127,,,,,,,,,,,,
282,9118,100287,9127,,,,,,,,,,,,
283,9118,100288,9126,,,,,,,,,,,,
284,9118,100289,9153,,,,,,,,,,,,
285,9118,100290,9153,,,,,,,,,,,,
286,9118,100291,9153,,,,,,,,,,,,
287,9093,100292,9128,,,,,,,,,,,,
288,9093,100293,9178,,,,,,,,,,,,
289,9118,100294,9204,,,,,,,,,,,,
290,7622,100295,9153,,,,,,,,,,,,
291,9093,100296,9126,,,,,,,,,,,,
292,9093,100297,9128,,,,,,,,,,,,
293,9118,100298,9129,,,,,,,,,,,,
294,7621,100299,9153,,,,,,,,,,,,
295,9093,100300,9153,,,,,,,,,,,,
296,9117,100301,9153,,,,,,,,,,,,
297,9093,100302,9203,,,,,,,,,,,,
298,9168,100303,9178,,,,,,,,,,,,
299,9117,100304,9153,,,,,,,,,,,,
300,9118,100305,9153,,,,,,,,,,,,
301,9117,100306,9178,,,,,,,,,,,,
302,9092,100307,9148,,,,,,,,,,,,
303,9117,100308,9128,,,,,,,,,,,,
304,9118,100309,9128,,,,,,,,,,,,
305,9118,100310,9127,,,,,,,,,,,,
306,9092,100311,9153,,,,,,,,,,,,
307,9092,100312,9178,,,,,,,,,,,,
308,9118,100313,9127,,,,,,,,,,,,
309,9117,100314,9127,,,,,,,,,,,,
310,9142,100315,9128,,,,,,,,,,,,
311,9117,100316,9128,,,,,,,,,,,,
312,9093,100317,9126,,,,,,,,,,,,
313,7646,100318,9128,,,,,,,,,,,,
314,9093,100319,9128,,,,,,,,,,,,
315,9092,100320,9204,,,,,,,,,,,,
316,9093,100321,9128,,,,,,,,,,,,
317,9092,100322,9128,,,,,,,,,,,,
318,9118,100323,9178,,,,,,,,,,,,
319,9093,100324,9127,,,,,,,,,,,,
320,9092,100325,9229,,,,,,,,,,,,
321,9118,100326,9128,,,,,,,,,,,,
322,7596,100327,9229,,,,,,,,,,,,
323,9093,100328,9127,,,,,,,,,,,,
324,9194,100329,9127,,,,,,,,,,,,
325,9099,100330,9204,,,,,,,,,,,,
326,9193,100331,9127,,,,,,,,,,,,
327,9093,100332,9128,,,,,,,,,,,,
328,9117,100333,9127,,,,,,,,,,,,
329,9141,100334,9128,,,,,,,,,,,,
330,9168,100335,9134,,,,,,,,,,,,
331,9169,100336,9153,,,,,,,,,,,,
332,9093,100337,9128,,,,,,,,,,,,
333,9118,100338,9153,,,,,,,,,,,,
334,9118,100339,9153,,,,,,,,,,,,
335,9117,100340,9178,,,,,,,,,,,,
336,9093,100341,9153,,,,,,,,,,,,
337,9092,100342,9153,,,,,,,,,,,,
338,9118,100343,9129,,,,,,,,,,,,
339,9143,100344,9154,,,,,,,,,,,,
340,9118,100345,9126,,,,,,,,,,,,
341,9117,100346,9153,,,,,,,,,,,,
342,9143,100347,9179,,,,,,,,,,,,
343,9092,100348,9178,,,,,,,,,,,,
