index,[2023-01-11 12:57:44.253] Capture Start,index,[2023-01-11 12:57:44.253] Capture Start
289,2869,100294,2630
290,2851,100295,2629
291,2890,100296,2630
292,2821,100297,2623
293,2869,100298,2623
294,2845,100299,2624
295,2845,100300,2624
296,2845,100301,2624
297,2845,100302,2630
298,2845,100303,2629
299,2852,100304,2629
300,2852,100305,2629
301,2821,100306,2624
302,2846,100307,2624
303,2846,100308,2623
304,2822,100309,2623
305,2846,100310,2623
306,2845,100311,2630
307,2846,100312,2629
308,2852,100313,2629
309,2852,100314,2629
310,2821,100315,2623
311,2845,100316,2623
312,2845,100317,2623
313,2846,100318,2623
314,2845,100319,2623
315,2845,100320,2630
316,2869,100321,2630
317,2851,100322,2629
318,2851,100323,2629
319,2869,100324,2623
320,2845,100325,2623
321,2869,100326,2623
322,2846,100327,2624
323,2845,100328,2624
324,2845,100329,2627
325,2845,100330,2630
326,2851,100331,2605
327,2852,100332,2629
328,2845,100333,2623
329,2845,100334,2623
330,2845,100335,2624
331,2845,100336,2624
332,2821,100337,2623
333,2821,100338,2623
334,2846,100339,2629
335,2852,100340,2606
336,2827,100341,2630
337,2821,100342,2623
338,2845,100343,2623
339,2846,100344,2623
340,2845,100345,2623
341,2845,100346,2624
342,2846,100347,2624
343,2845,100348,2629
344,2845,100349,2605
345,2852,100350,2630
346,2846,100351,2625
347,2796,100352,2623
348,2821,100353,2623
349,2821,100354,2623
350,2845,100355,2623
351,2845,100356,2623
352,2846,100357,2629
353,2821,100358,2629
354,2851,100359,2629
355,2845,100360,2629
356,2797,100361,2624
357,2845,100362,2624
358,2845,100363,2623
359,2845,100364,2624
360,2845,100365,2624
361,2821,100366,2630
362,2845,100367,2630
363,2851,100368,2629
364,2851,100369,2630
365,2797,100370,2623
366,2846,100371,2623
367,2846,100372,2623
368,2845,100373,2623
369,2869,100374,2624
370,2869,100375,2629
371,2869,100376,2629
372,2899,100377,2629
373,2851,100378,2629
374,2869,100379,2623
375,2845,100380,2623
376,2845,100381,2624
377,2845,100382,2623
378,2845,100383,2623
379,2821,100384,2630
380,2846,100385,2629
381,2828,100386,2629
382,2852,100387,2630
383,2846,100388,2624
384,2846,100389,2623
385,2846,100390,2624
386,2821,100391,2623
387,2846,100392,2623
388,2845,100393,2627
389,2897,100394,2630
390,2900,100395,2654
391,2851,100396,2605
392,2845,100397,2624
393,2845,100398,2624
394,2845,100399,2623
395,2845,100400,2624
396,2845,100401,2623
397,2845,100402,2624
398,2846,100403,2629
399,2827,100404,2655
400,2828,100405,2605
401,2845,100406,2624
402,2821,100407,2624
403,2846,100408,2624
404,2821,100409,2624
405,2821,100410,2624
406,2822,100411,2624
407,2846,100412,2630
408,2821,100413,2605
409,2852,100414,2630
410,2822,100415,2625
411,2796,100416,2624
412,2822,100417,2624
413,2821,100418,2623
414,2820,100419,2623
415,2821,100420,2624
416,2845,100421,2629
417,2845,100422,2629
418,2851,100423,2630
419,2845,100424,2629
420,2796,100425,2623
421,2844,100426,2623
422,2844,100427,2623
423,2845,100428,2623
424,2821,100429,2623
425,2821,100430,2629
426,2821,100431,2629
427,2827,100432,2630
428,2852,100433,2629
429,2797,100434,2623
430,2821,100435,2623
431,2845,100436,2624
432,2821,100437,2624
433,2821,100438,2624
434,2846,100439,2630
435,2821,100440,2629
436,2828,100441,2629
437,2852,100442,2629
438,2845,100443,2622
439,2846,100444,2623
440,2845,100445,2623
441,2845,100446,2623
442,2845,100447,2624
443,2845,100448,2629
444,2845,100449,2629
445,2827,100450,2629
446,2851,100451,2630
447,2846,100452,2624
448,2821,100453,2624
449,2846,100454,2623
450,2845,100455,2623
451,2821,100456,2623
452,2821,100457,2626
453,2845,100458,2630
454,2851,100459,2605
455,2851,100460,2629
456,2845,100461,2623
457,2845,100462,2648
458,2869,100463,2623
459,2845,100464,2623
460,2869,100465,2624
461,2845,100466,2623
462,2845,100467,2629
463,2851,100468,2605
464,2851,100469,2630
465,2845,100470,2623
466,2845,100471,2648
467,2821,100472,2624
468,2821,100473,2624
469,2821,100474,2623
470,2845,100475,2623
471,2845,100476,2630
472,2845,100477,2605
473,2851,100478,2630
474,2846,100479,2625
475,2796,100480,2648
476,2845,100481,2624
477,2821,100482,2624
478,2821,100483,2624
479,2821,100484,2623
480,2845,100485,2629
481,2820,100486,2630
482,2851,100487,2630
483,2869,100488,2630
484,2796,100489,2623
485,2821,100490,2624
486,2845,100491,2624
487,2845,100492,2623
488,2821,100493,2624
489,2846,100494,2630
490,2821,100495,2630
491,2827,100496,2629
492,2852,100497,2629
493,2796,100498,2624
494,2846,100499,2623
495,2821,100500,2623
496,2845,100501,2700
497,2821,100502,2647
498,2821,100503,2654
499,2845,100504,2629
500,2852,100505,2629
501,2851,100506,2629
502,2845,100507,2699
503,2845,100508,2623
504,2845,100509,2623
505,2821,100510,2623
506,2846,100511,2623
507,2845,100512,2630
508,2821,100513,2629
509,2851,100514,2629
510,2851,100515,2629
511,2845,100516,2624
512,2846,100517,2624
513,2846,100518,2623
514,2845,100519,2624
515,2821,100520,2624
516,2822,100521,2702
517,2821,100522,2629
518,2852,100523,2604
519,2851,100524,2629
520,2845,100525,2700
521,2845,100526,2724
522,2868,100527,2623
523,2869,100528,2623
524,2869,100529,2700
525,2845,100530,2623
526,2893,100531,2706
527,2875,100532,2605
528,2875,100533,2629
529,2896,100534,2724
530,2869,100535,2700
531,2894,100536,2648
532,2869,100537,2623
533,2869,100538,2647
534,2869,100539,2700
535,2893,100540,2706
536,2896,100541,2629
537,2899,100542,2629
538,2872,100543,2648
539,2871,100544,2725
540,2869,100545,2648
541,2896,100546,2700
542,2897,100547,2699
543,2845,100548,2700
544,2869,100549,2654
545,2845,100550,2653
546,2875,100551,2653
547,2873,100552,2629
548,2797,100553,2700
549,2845,100554,2624
550,2845,100555,2623
551,2821,100556,2647
552,2821,100557,2623
553,2821,100558,2629
554,2821,100559,2630
555,2827,100560,2629
556,2827,100561,2630
557,2797,100562,2623
558,2846,100563,2648
559,2822,100564,2623
560,2869,100565,2623
561,2844,100566,2623
562,2869,100567,2629
563,2821,100568,2630
564,2851,100569,2706
565,2851,100570,2654
566,2821,100571,2647
567,2846,100572,2648
568,2821,100573,2623
569,2845,100574,2648
570,2845,100575,2700
571,2845,100576,2706
572,2845,100577,2706
573,2851,100578,2706
574,2827,100579,2654
575,2845,100580,2724
576,2821,100581,2725
577,2821,100582,2648
578,2821,100583,2699
579,2845,100584,2700
580,2845,100585,2627
581,2845,100586,2629
582,2851,100587,2605
583,2852,100588,2629
584,2846,100589,2700
585,2846,100590,2725
586,2845,100591,2647
587,2846,100592,2624
588,2845,100593,2725
589,2845,100594,2725
590,2846,100595,2654
591,2827,100596,2629
592,2851,100597,2629
593,2845,100598,2700
594,2845,100599,2648
595,2845,100600,2623
596,2846,100601,2725
597,2845,100602,2648
598,2821,100603,2648
599,2846,100604,2629
600,2845,100605,2605
601,2852,100606,2630
602,2845,100607,2648
603,2821,100608,2648
604,2846,100609,2623
605,2821,100610,2623
606,2821,100611,2623
607,2845,100612,2648
608,2846,100613,2654
609,2846,100614,2630
610,2852,100615,2731
611,2869,100616,2725
612,2821,100617,2700
613,2846,100618,2648
614,2845,100619,2725
615,2821,100620,2700
616,2845,100621,2700
617,2845,100622,2630
618,2846,100623,2630
619,2852,100624,2706
620,2852,100625,2629
621,2797,100626,2623
622,2845,100627,2725
623,2845,100628,2648
624,2821,100629,2648
625,2822,100630,2623
626,2845,100631,2630
627,2845,100632,2629
628,2851,100633,2654
629,2851,100634,2654
630,2846,100635,2624
631,2821,100636,2624
632,2845,100637,2624
633,2846,100638,2648
634,2845,100639,2624
635,2821,100640,2731
636,2845,100641,2731
637,2828,100642,2630
638,2827,100643,2653
639,2846,100644,2648
640,2821,100645,2624
641,2821,100646,2648
642,2845,100647,2624
643,2845,100648,2624
644,2821,100649,2627
645,2821,100650,2706
646,2827,100651,2629
647,2827,100652,2630
648,2845,100653,2624
649,2845,100654,2648
650,2845,100655,2725
651,2844,100656,2725
652,2821,100657,2725
653,2845,100658,2725
654,2845,100659,2654
655,2851,100660,2629
656,2851,100661,2630
657,2821,100662,2725
658,2821,100663,2648
659,2821,100664,2648
660,2845,100665,2648
661,2845,100666,2725
662,2821,100667,2648
663,2821,100668,2654
664,2821,100669,2629
665,2828,100670,2629
666,2845,100671,2648
667,2797,100672,2648
668,2845,100673,2648
669,2821,100674,2648
670,2821,100675,2725
671,2821,100676,2725
672,2845,100677,2654
673,2846,100678,2731
674,2851,100679,2730
675,2846,100680,2725
676,2797,100681,2624
677,2845,100682,2648
678,2844,100683,2724
679,2845,100684,2623
680,2845,100685,2647
681,2845,100686,2629
682,2846,100687,2706
683,2852,100688,2706
684,2870,100689,2700
685,2821,100690,2700
686,2846,100691,2700
687,2846,100692,2700
688,2846,100693,2700
689,2845,100694,2700
690,2846,100695,2654
691,2845,100696,2706
692,2852,100697,2731
693,2852,100698,2725
694,2845,100699,2700
695,2846,100700,2623
696,2822,100701,2624
697,2846,100702,2624
698,2846,100703,2648
699,2846,100704,2630
700,2846,100705,2629
701,2851,100706,2630
702,2852,100707,2630
703,2846,100708,2624
704,2846,100709,2648
705,2846,100710,2623
706,2846,100711,2648
707,2845,100712,2648
708,2822,100713,2651
709,2846,100714,2629
710,2828,100715,2629
711,2827,100716,2629
712,2846,100717,2624
713,2846,100718,2725
714,2846,100719,2648
715,2822,100720,2725
716,2845,100721,2725
717,2869,100722,2648
718,2869,100723,2629
719,2851,100724,2629
720,2828,100725,2629
721,2845,100726,2699
722,2845,100727,2700
723,2869,100728,2700
724,2845,100729,2700
725,2845,100730,2700
726,2846,100731,2725
727,2846,100732,2731
728,2846,100733,2629
729,2852,100734,2629
730,2846,100735,2700
731,2797,100736,2700
732,2821,100737,2700
733,2821,100738,2700
734,2846,100739,2648
735,2845,100740,2725
736,2846,100741,2706
737,2846,100742,2731
738,2827,100743,2630
739,2845,100744,2630
740,2796,100745,2648
741,2845,100746,2725
742,2845,100747,2647
743,2845,100748,2624
744,2821,100749,2647
745,2821,100750,2706
746,2846,100751,2707
747,2851,100752,2706
748,2869,100753,2700
749,2796,100754,2623
750,2821,100755,2623
751,2845,100756,2623
752,2846,100757,2624
753,2846,100758,2648
754,2846,100759,2630
755,2846,100760,2654
756,2852,100761,2630
757,2827,100762,2630
758,2821,100763,2623
759,2846,100764,2647
760,2846,100765,2623
761,2844,100766,2624
762,2845,100767,2648
763,2845,100768,2629
764,2845,100769,2629
765,2852,100770,2629
766,2852,100771,2630
767,2845,100772,2623
768,2846,100773,2623
769,2845,100774,2648
770,2821,100775,2648
771,2846,100776,2700
772,2845,100777,2651
773,2845,100778,2629
774,2851,100779,2605
775,2852,100780,2629
776,2821,100781,2700
777,2845,100782,2725
778,2845,100783,2700
779,2846,100784,2623
780,2845,100785,2624
781,2845,100786,2624
782,2845,100787,2629
783,2852,100788,2605
784,2852,100789,2630
785,2845,100790,2623
786,2845,100791,2623
787,2846,100792,2624
788,2846,100793,2624
789,2822,100794,2623
790,2821,100795,2624
791,2846,100796,2630
792,2845,100797,2605
793,2851,100798,2629
794,2846,100799,2626
795,2821,100800,2623
796,2845,100801,2623
797,2845,100802,2623
798,2821,100803,2647
799,2821,100804,2623
800,2846,100805,2706
801,2846,100806,2630
802,2827,100807,2654
803,2846,100808,2629
804,2821,100809,2623
805,2821,100810,2623
806,2845,100811,2623
807,2845,100812,2623
808,2821,100813,2624
809,2869,100814,2629
810,2845,100815,2630
811,2827,100816,2630
812,2852,100817,2630
813,2797,100818,2624
814,2845,100819,2624
815,2845,100820,2624
816,2821,100821,2624
817,2821,100822,2623
818,2846,100823,2630
819,2846,100824,2629
820,2852,100825,2630
821,2851,100826,2630
822,2821,100827,2700
823,2821,100828,2623
824,2845,100829,2623
825,2821,100830,2623
826,2845,100831,2647
827,2845,100832,2653
828,2845,100833,2654
829,2852,100834,2629
830,2852,100835,2653
831,2846,100836,2623
832,2845,100837,2700
833,2821,100838,2623
834,2846,100839,2623
835,2845,100840,2623
836,2845,100841,2626
837,2845,100842,2706
838,2852,100843,2605
839,2851,100844,2629
840,2845,100845,2648
841,2845,100846,2648
842,2845,100847,2623
843,2846,100848,2623
844,2846,100849,2623
845,2846,100850,2624
846,2821,100851,2629
847,2851,100852,2605
848,2827,100853,2630
849,2846,100854,2623
850,2845,100855,2624
851,2845,100856,2624
852,2845,100857,2624
853,2821,100858,2623
854,2845,100859,2624
855,2821,100860,2654
856,2845,100861,2605
857,2851,100862,2629
858,2845,100863,2648
859,2821,100864,2700
860,2846,100865,2623
861,2845,100866,2648
862,2821,100867,2648
863,2821,100868,2623
864,2846,100869,2630
865,2821,100870,2653
866,2828,100871,2653
867,2827,100872,2725
868,2797,100873,2623
869,2821,100874,2648
870,2845,100875,2623
871,2821,100876,2624
872,2845,100877,2623
873,2846,100878,2630
874,2845,100879,2630
875,2851,100880,2629
876,2852,100881,2630
877,2797,100882,2624
878,2845,100883,2647
879,2846,100884,2648
880,2821,100885,2725
881,2846,100886,2724
882,2846,100887,2629
883,2845,100888,2629
884,2851,100889,2654
885,2852,100890,2629
886,2845,100891,2623
887,2846,100892,2648
888,2845,100893,2624
889,2822,100894,2725
890,2845,100895,2648
891,2845,100896,2629
892,2846,100897,2630
893,2851,100898,2629
894,2851,100899,2630
895,2845,100900,2623
896,2845,100901,2624
897,2845,100902,2623
898,2846,100903,2624
899,2896,100904,2623
900,2845,100905,2627
901,2846,100906,2630
902,2852,100907,2630
903,2851,100908,2630
904,2845,100909,2648
905,2845,100910,2749
906,2845,100911,2624
907,2845,100912,2648
908,2845,100913,2648
909,2845,100914,2648
910,2845,100915,2731
911,2851,100916,2630
912,2851,100917,2630
913,2845,100918,2623
914,2845,100919,2750
915,2845,100920,2623
916,2845,100921,2648
917,2845,100922,2624
918,2846,100923,2648
919,2846,100924,2654
920,2845,100925,2629
921,2851,100926,2629
922,2846,100927,2724
923,2820,100928,2724
924,2846,100929,2725
925,2845,100930,2725
926,2822,100931,2647
927,2846,100932,2725
928,2822,100933,2654
929,2846,100934,2731
930,2852,100935,2654
931,2846,100936,2648
932,2821,100937,2648
933,2846,100938,2649
934,2845,100939,2624
935,2821,100940,2648
936,2846,100941,2648
937,2845,100942,2630
938,2846,100943,2630
939,2852,100944,2630
940,2852,100945,2630
941,2821,100946,2624
942,2846,100947,2648
943,2846,100948,2648
944,2821,100949,2725
945,2846,100950,2648
946,2846,100951,2654
947,2845,100952,2654
948,2852,100953,2731
949,2851,100954,2654
950,2846,100955,2648
951,2846,100956,2724
952,2845,100957,2648
953,2845,100958,2725
954,2845,100959,2624
955,2846,100960,2630
956,2846,100961,2654
957,2851,100962,2654
958,2852,100963,2630
959,2846,100964,2648
960,2846,100965,2624
961,2846,100966,2648
962,2869,100967,2624
963,2869,100968,2648
964,2846,100969,2729
965,2845,100970,2630
966,2852,100971,2629
967,2852,100972,2630
968,2845,100973,2725
969,2846,100974,2749
970,2846,100975,2725
971,2846,100976,2725
972,2846,100977,2623
973,2846,100978,2648
974,2846,100979,2654
975,2852,100980,2629
976,2852,100981,2629
977,2846,100982,2750
978,2845,100983,2725
979,2846,100984,2724
980,2845,100985,2648
981,2845,100986,2725
982,2846,100987,2750
983,2846,100988,2654
984,2846,100989,2629
985,2852,100990,2629
986,2845,100991,2749
987,2821,100992,2750
988,2845,100993,2648
989,2846,100994,2648
990,2846,100995,2648
991,2845,100996,2623
992,2846,100997,2629
993,2846,100998,2630
994,2852,100999,2630
995,2846,101000,2630
996,2822,101001,2648
997,2846,101002,2725
998,2846,101003,2624
999,2822,101004,2624
1000,2845,101005,2648
1001,2845,101006,2630
1002,2846,101007,2630
1003,2852,101008,2731
1004,2852,101009,2725
1005,2821,101010,2623
1006,2846,101011,2648
1007,2845,101012,2725
1008,2846,101013,2700
1009,2846,101014,2725
1010,2845,101015,2731
1011,2846,101016,2706
1012,2851,101017,2731
1013,2852,101018,2654
1014,2846,101019,2725
1015,2846,101020,2725
1016,2846,101021,2725
1017,2845,101022,2648
1018,2845,101023,2648
1019,2846,101024,2654
1020,2846,101025,2654
1021,2852,101026,2731
1022,2851,101027,2654
1023,2846,101028,2648
1024,2846,101029,2725
1025,2846,101030,2648
1026,2846,101031,2648
1027,2845,101032,2725
1028,2845,101033,2651
1029,2845,101034,2731
1030,2851,101035,2629
1031,2852,101036,2629
1032,2845,101037,2725
1033,2846,101038,2725
1034,2845,101039,2725
1035,2846,101040,2648
1036,2846,101041,2648
1037,2845,101042,2648
1038,2846,101043,2654
1039,2851,101044,2630
1040,2852,101045,2654
1041,2845,101046,2750
1042,2846,101047,2725
1043,2846,101048,2725
1044,2845,101049,2648
1045,2845,101050,2725
1046,2845,101051,2725
1047,2845,101052,2731
1048,2846,101053,2629
1049,2852,101054,2630
1050,2870,101055,2725
1051,2821,101056,2750
1052,2846,101057,2624
1053,2845,101058,2725
1054,2869,101059,2648
1055,2846,101060,2647
1056,2869,101061,2654
1057,2870,101062,2630
1058,2851,101063,2731
1059,2870,101064,2630
1060,2821,101065,2648
1061,2846,101066,2725
1062,2845,101067,2648
1063,2845,101068,2648
1064,2846,101069,2725
1065,2869,101070,2654
1066,2846,101071,2630
1067,2851,101072,2655
1068,2890,101073,2630
1069,2821,101074,2649
1070,2845,101075,2725
1071,2845,101076,2725
1072,2869,101077,2648
1073,2844,101078,2725
1074,2870,101079,2630
1075,2869,101080,2731
1076,2875,101081,2731
1077,2875,101082,2654
1078,2869,101083,2648
1079,2869,101084,2648
1080,2870,101085,2648
1081,2845,101086,2725
1082,2869,101087,2648
1083,2845,101088,2655
1084,2846,101089,2731
1085,2851,101090,2706
1086,2875,101091,2725
1087,2869,101092,2725
1088,2869,101093,2725
1089,2846,101094,2624
1090,2845,101095,2648
1091,2845,101096,2648
1092,2869,101097,2728
1093,2845,101098,2654
1094,2852,101099,2630
1095,2851,101100,2629
1096,2845,101101,2725
1097,2846,101102,2750
1098,2846,101103,2624
1099,2846,101104,2725
1100,2845,101105,2648
1101,2846,101106,2725
1102,2846,101107,2731
1103,2851,101108,2629
1104,2851,101109,2629
1105,2845,101110,2725
1106,2845,101111,2750
1107,2870,101112,2700
1108,2846,101113,2725
1109,2846,101114,2700
1110,2846,101115,2700
1111,2845,101116,2706
1112,2845,101117,2605
1113,2851,101118,2629
1114,2870,101119,2726
1115,2821,101120,2725
1116,2845,101121,2648
1117,2845,101122,2725
1118,2846,101123,2725
1119,2845,101124,2624
1120,2845,101125,2630
1121,2846,101126,2630
1122,2851,101127,2654
1123,2870,101128,2701
1124,2820,101129,2648
1125,2845,101130,2624
1126,2845,101131,2624
1127,2821,101132,2624
1128,2846,101133,2648
1129,2845,101134,2654
1130,2845,101135,2731
1131,2851,101136,2731
1132,2852,101137,2725
1133,2796,101138,2725
1134,2846,101139,2624
1135,2846,101140,2700
1136,2846,101141,2725
1137,2845,101142,2725
1138,2846,101143,2731
1139,2846,101144,2630
1140,2851,101145,2731
1141,2875,101146,2630
1142,2846,101147,2624
1143,2845,101148,2624
1144,2846,101149,2624
1145,2845,101150,2648
1146,2846,101151,2725
1147,2845,101152,2731
1148,2869,101153,2731
1149,2851,101154,2731
1150,2851,101155,2654
1151,2846,101156,2624
1152,2846,101157,2624
1153,2846,101158,2624
1154,2846,101159,2624
1155,2845,101160,2725
1156,2845,101161,2628
1157,2846,101162,2630
1158,2852,101163,2629
1159,2851,101164,2630
1160,2845,101165,2725
1161,2845,101166,2725
1162,2846,101167,2701
1163,2869,101168,2624
1164,2869,101169,2624
1165,2896,101170,2648
1166,2894,101171,2731
1167,2899,101172,2629
1168,2900,101173,2630
1169,2896,101174,2649
1170,2869,101175,2725
1171,2869,101176,2701
1172,2893,101177,2725
1173,2893,101178,2648
1174,2893,101179,2648
1175,2869,101180,2655
1176,2894,101181,2630
1177,2899,101182,2654
1178,2823,101183,2700
1179,2871,101184,2726
1180,2896,101185,2700
1181,2897,101186,2648
1182,2897,101187,2648
1183,2896,101188,2700
1184,2896,101189,2654
1185,2823,101190,2731
1186,2853,101191,2707
1187,2829,101192,2700
1188,2869,101193,2700
1189,2896,101194,2700
