eady),
Ch1: ,
3348,
3390,
3354,
3403,
3340,
3348,
3403,
3346,
3348,
3348,
3346,
3354,
3348,
3346,
3379,
3379,
3365,
3397,
3354,
3346,
3347,
3354,
3354,
3354,
3340,
3353,
3378,
3346,
3348,
3354,
3346,
3348,
3348,
3346,
3354,
3347,
3346,
3403,
3403,
3340,
3348,
3354,
3354,
3372,
3348,
3348,
3354,
3354,
3354,
3379,
3354,
3354,
3372,
3348,
3373,
3378,
3403,
3403,
3354,
3378,
3354,
3354,
3397,
3348,
3353,
3353,
3354,
3354,
3354,
3378,
3354,
3372,
3348,
3348,
3378,
3378,
3378,
3354,
3379,
3354,
3348,
3348,
3347,
3354,
3354,
3354,
3378,
3354,
3354,
3348,
3348,
3348,
3354,
3355,
3378,
3354,
3354,
3354,
3348,
3348,
3372,
3354,
3355,
3354,
3355,
3354,
3355,
3348,
3348,
3348,
3354,
3354,
3354,
3354,
3378,
3378,
3371,
3372,
3348,
3353,
3353,
3377,
3378,
3353,
3354,
3354,
3348,
3348,
3355,
3353,
3355,
3354,
3354,
3354,
3354,
3371,
3347,
3372,
3354,
3379,
3354,
3354,
3355,
3355,
3372,
3348,
3348,
3354,
3379,
3354,
3355,
3354,
3354,
3348,
3348,
3349,
3354,
3379,
3354,
3354,
3355,
3354,
3349,
3348,
3348,
3354,
3378,
3378,
3354,
3354,
3354,
3348,
3349,
3348,
3378,
3355,
3354,
3354,
3354,
3354,
3348,
3348,
3348,
3377,
3377,
3405,
3378,
3405,
3405,
3399,
3399,
3372,
3405,
3378,
3377,
3378,
3405,
3377,
3399,
3371,
3372,
3372,
3405,
3405,
3377,
3405,
3377,
3399,
3372,
3371,
3372,
3377,
3406,
3378,
3377,
3405,
3405,
3399,
3372,
3399,
3378,
3406,
3378,
3377,
3378,
3377,
3399,
3399,
3399,
3406,
3406,
3405,
3406,
3378,
3378,
3372,
3372,
3371,
3405,
3405,
3405,
3406,
3405,
3405,
3398,
3399,
3399,
3405,
3405,
3405,
3405,
3406,
3377,
3399,
3372,
3399,
3406,
3405,
3405,
3405,
3405,
3405,
3399,
3399,
3371,
3399,
3405,
3405,
3378,
3405,
3405,
3399,
3399,
3399,
3399,
3405,
3405,
3405,
3405,
3405,
3404,
3398,
3399,
3400,
3406,
3406,
3406,
3405,
3405,
3406,
3372,
3372,
3399,
3378,
3406,
3405,
3405,
3405,
3405,
3349,
3399,
3399,
3405,
3405,
3406,
3405,
3378,
3405,
3372,
3399,
3399,
3405,
3378,
3405,
3378,
3406,
3405,
3399,
3399,
3399,
3406,
3406,
3406,
3356,
3405,
3405,
3399,
3399,
3349,
3350,
3405,
3405,
3405,
3406,
3405,
3399,
3399,
3399,
3399,
3356,
3356,
3405,
3356,
3356,
3355,
3350,
3371,
3350,
3405,
3405,
3355,
3405,
3356,
3356,
3349,
3349,
3349,
3356,
3356,
3405,
3405,
3405,
3355,
3399,
3399,
3399,
3355,
3356,
3405,
3405,
3406,
3406,
3399,
3399,
3399,
3356,
3405,
3356,
3356,
3405,
3356,
3398,
3350,
3350,
3356,
3356,
3405,
3405,
3406,
3405,
3399,
3399,
3350,
3399,
3356,
3356,
3356,
3356,
3356,
3400,
3399,
3349,
3350,
3405,
3356,
3356,
3356,
3406,
3405,
3399,
3398,
3350,
3406,
3356,
3356,
3356,
3355,
3355,
3350,
3349,
3373,
3356,
3356,
3405,
3356,
3356,
3406,
3350,
3350,
3399,
3356,
