Channel1,Channel2,LabelObject,Grid
5967,5991,No,0
6018,5991,No,0
5966,5991,No,0
5967,5991,No,0
5993,5991,No,0
6018,5991,No,0
6019,5991,No,0
5966,5991,No,0
6019,5991,No,0
6019,5990,No,0
6018,5990,No,0
5944,5990,No,0
5944,5990,No,0
5994,5990,No,0
6019,6091,No,0
5944,6015,No,0
5993,6067,No,0
6018,5990,No,0
5967,5990,No,0
5948,5990,No,0
5967,5990,No,0
5943,5990,No,0
5967,6015,No,0
6019,5990,No,0
6019,5990,No,0
6020,5991,No,0
6018,5990,No,0
5942,6091,No,0
6019,5990,No,0
6018,6014,No,0
6019,5997,No,0
6025,5991,No,0
6019,5966,No,0
6019,5997,No,0
5967,6015,No,0
6019,5991,No,0
6019,6016,No,0
6019,6015,No,0
6018,5991,No,0
5994,5991,No,0
6018,5991,No,0
6019,5990,No,0
6019,5990,No,0
5993,6015,No,0
6019,5990,No,0
5966,5991,No,0
6019,6015,No,0
6019,6014,No,0
5994,5991,No,0
6019,6091,No,0
6019,6066,No,0
6019,6066,No,0
6019,6067,No,0
6019,6091,No,0
5949,6014,No,0
5994,6066,No,0
6019,6067,No,0
5972,6091,No,0
5994,6091,No,0
6018,6066,No,0
6020,6014,No,0
5967,6066,No,0
6019,6066,No,0
5973,6014,No,0
6019,6014,No,0
5967,6014,No,0
6019,6091,No,0
5967,6091,No,0
6019,5997,No,0
5994,5990,No,0
5994,5991,No,0
5994,5996,No,0
6019,6016,No,0
6019,5991,No,0
5994,5992,No,0
6000,5991,No,0
6019,5991,No,0
5994,5997,No,0
6025,5966,No,0
5994,5966,No,0
5994,5972,No,0
6023,5991,No,0
6019,5966,No,0
6019,5966,No,0
6019,5990,No,0
6019,5966,No,0
5944,5966,No,0
5994,5966,No,0
6019,5990,No,0
5944,5990,No,0
5951,5966,No,0
5945,5990,No,0
5994,5991,No,0
6019,5966,No,0
6019,5966,No,0
6019,5966,No,0
6025,6041,No,0
6019,5991,No,0
5967,5991,No,0
6026,5990,No,0
6020,5991,No,0
6019,5991,No,0
6019,5991,No,0
6019,5991,No,0
6019,5991,No,0
5969,6015,No,0
6019,5991,No,0
5994,5991,No,0
6019,5991,No,0
6019,6015,No,0
6019,5990,No,0
5944,5991,No,0
5994,6015,No,0
5944,5991,No,0
5944,5990,No,0
6019,5966,No,0
6019,6014,No,0
6019,5991,No,0
6044,6015,No,0
6019,6092,No,0
5994,6092,No,0
5994,5966,No,0
6019,5997,No,0
6019,5966,No,0
6020,5966,No,0
6019,5990,No,0
6019,5965,No,0
6019,5990,No,0
6025,5990,No,0
6018,5991,No,0
6018,5990,No,0
6019,6014,No,0
6044,5990,No,0
6019,6091,No,0
6019,6091,No,0
6019,5990,No,0
6044,6015,No,0
5945,6015,No,0
6019,5990,No,0
6020,6014,No,0
5994,5991,No,0
5945,5991,No,0
6018,5990,No,0
6020,5990,No,0
6020,5965,No,0
5967,5990,No,0
5994,5990,No,0
6019,5990,No,0
5969,5990,No,0
5994,5990,No,0
6045,6039,No,0
6019,5991,No,0
6019,5991,No,0
6019,6041,No,0
6000,5966,No,0
6019,5991,No,0
6018,6015,No,0
6000,6015,No,0
5945,6015,No,0
5945,5967,No,0
5994,5991,No,0
5994,6015,No,0
6019,5966,No,0
5994,5966,No,0
6019,5990,No,0
5994,5966,No,0
6019,5990,No,0
5969,5990,No,0
5970,5966,No,0
6019,5966,No,0
6020,5991,No,0
5994,6015,No,0
6019,5991,No,0
5994,5966,No,0
5944,5966,No,0
6019,5991,No,0
6019,5966,No,0
5970,5990,No,0
5994,6091,No,0
6019,6091,No,0
6019,5990,No,0
6000,5990,No,0
5995,5991,No,0
5945,5966,No,0
6019,5966,No,0
6019,5991,No,0
6019,5991,No,0
6000,5990,No,0
6020,6014,No,0
5995,5990,No,0
6025,5991,No,0
5994,5966,No,0
5945,6015,No,0
6000,5990,No,0
5994,5991,No,0
6020,5966,No,0
6000,5991,No,0
5945,5991,No,0
5970,5965,No,0
5995,5965,No,0
5944,5966,No,0
5995,5966,No,0
5995,5990,No,0
5994,5966,No,0
6019,6091,No,0
5995,6015,No,0
5945,5990,No,0
5995,6014,No,0
5994,5990,No,0
5994,5990,No,0
6020,5990,No,0
6020,5991,No,0
6020,6040,No,0
6020,5989,No,0
5995,5990,No,0
5995,5990,No,0
5945,5990,No,0
5995,6091,No,0
5994,5990,No,0
5995,5990,No,0
6020,5996,No,0
5945,5991,No,0
5995,5990,No,0
6020,5997,No,0
6019,5989,No,0
5945,5990,No,0
5970,5997,No,0
5995,5966,No,0
5945,5966,No,0
5944,5966,No,0
5952,5990,No,0
5946,5966,No,0
5946,5991,No,0
5945,5966,No,0
5970,5965,No,0
5946,5989,No,0
5945,5965,No,0
5995,5967,No,0
5946,6016,No,0
5946,5990,No,0
6021,5990,No,0
5995,5991,No,0
6020,6091,No,0
6001,6091,No,0
5995,6021,No,0
5945,6091,No,0
5945,5990,No,0
5995,5991,No,0
5995,5991,No,0
5994,5990,No,0
5945,5991,No,0
5995,6015,No,0
5995,5990,No,0
6021,5991,No,0
5995,5991,No,0
6020,5991,No,0
6020,5991,No,0
6020,5992,No,0
6020,6014,No,0
5995,5990,No,0
5945,5991,No,0
5995,5991,No,0
5995,5991,No,0
6020,6092,No,0
6020,5990,No,0
5946,5966,No,0
5995,6040,No,0
5995,5990,No,0
5970,5966,No,0
5996,5990,No,0
6020,5991,No,0
5995,6041,No,0
6020,5991,No,0
6020,5990,No,0
5945,6015,No,0
5995,5990,No,0
5945,5990,No,0
5946,5966,No,0
5946,5967,No,0
5945,6015,No,0
6001,6040,No,0
6020,6015,No,0
6020,5972,No,0
6020,5991,No,0
5946,5990,No,0
5946,5991,No,0
5952,6041,No,0
5945,6016,No,0
5995,5996,No,0
5921,5990,No,0
5945,5990,No,0
5946,5996,No,0
5945,5966,No,0
5951,5991,No,0
5945,5996,No,0
5945,5966,No,0
5946,5991,No,0
5969,5989,No,0
5944,5990,No,0
5995,5989,No,0
5951,5990,No,0
5945,5966,No,0
5945,5990,No,0
5945,5967,No,0
5946,5965,No,0
5921,5990,No,0
5921,5990,No,0
5976,5990,No,0
5946,5991,No,0
5995,5990,No,0
5995,6040,No,0
5945,5966,No,0
5970,5990,No,0
5970,5991,No,0
5995,6040,No,0
5995,5990,No,0
5995,5990,No,0
5945,5990,No,0
5944,5990,No,0
6021,5989,No,0
5952,5991,No,0
5946,5990,No,0
5945,5990,No,0
5995,5990,No,0
