Ultrasonic Sensor Data Capture Start,
Obstacle: Open Door, mid-hallway,
Grid place: 1 (Steady),
Ch1: ,
4334,
4296,
4310,
4303,
4280,
4411,
4310,
4328,
4302,
4436,
4435,
4296,
4405,
4335,
4286,
4304,
4278,
4310,
4304,
4359,
4310,
4296,
4411,
4310,
4286,
4310,
4303,
4310,
4296,
4310,
4335,
4329,
4286,
4302,
4280,
4310,
4334,
4328,
4286,
4334,
4272,
4385,
4310,
4286,
4304,
4302,
4335,
4380,
4287,
4310,
4296,
4359,
4358,
4286,
4310,
4302,
4286,
4303,
4286,
4286,
4310,
4310,
4286,
4286,
4427,
4310,
4304,
4310,
4286,
4320,
4310,
4286,
4280,
4310,
4286,
4304,
4302,
4359,
4334,
4280,
4310,
4278,
4353,
4334,
4310,
4304,
4326,
4335,
4304,
4404,
4286,
4278,
4328,
4327,
4310,
4304,
4286,
4410,
4296,
4429,
4410,
4303,
4280,
4411,
4402,
4285,
4297,
4335,
4310,
4304,
4310,
4326,
4304,
4334,
4358,
4285,
4302,
4311,
4286,
4328,
4310,
4286,
4304,
4302,
4334,
4304,
4335,
4310,
4296,
4436,
4310,
4262,
4310,
4302,
4286,
4300,
4286,
4287,
4311,
4310,
4311,
4335,
4286,
4280,
4304,
4286,
4286,
4286,
4287,
4287,
4286,
4286,
4281,
4280,
4286,
4286,
4287,
4287,
4310,
4286,
4286,
4280,
4280,
4286,
4287,
4287,
4286,
4286,
4286,
4286,
4280,
4280,
4280,
4310,
4334,
4286,
4262,
4286,
4310,
4286,
4304,
4280,
4286,
4310,
4286,
4261,
4309,
4310,
4286,
4280,
4303,
4310,
4311,
4286,
4262,
4310,
4311,
4311,
4304,
4303,
4286,
4286,
4286,
4286,
4286,
4310,
4310,
4303,
4304,
4309,
4310,
4310,
4310,
4286,
4285,
4286,
4280,
4280,
4286,
4286,
4286,
4286,
4286,
4287,
4287,
4280,
4280,
4310,
4286,
4286,
4286,
4286,
4286,
4285,
4280,
4280,
4281,
4286,
4311,
4286,
4262,
4310,
4286,
4287,
4280,
4280,
4286,
4311,
4334,
4262,
4311,
4310,
4286,
4304,
4280,
4286,
4311,
4310,
4286,
4310,
4310,
4310,
4303,
4303,
4310,
4310,
4310,
4310,
4309,
4310,
4310,
4304,
4304,
4286,
4334,
4286,
4286,
4310,
4310,
4286,
4280,
4304,
4286,
4310,
4310,
